Variable,Label,Mean (Claude-Sonnet-4),Mean (GPT-4.1-mini),Mean (Gemini-2.5-Flash),H,p,Epsilon-sq,Significant (p<.05)
Q0b,Category Interest,3.433,3.867,3.333,5.1,0.0781,0.0573,False
Q1,Purchase Interest ($23K),3.733,3.5,3.6,1.033,0.5967,0.0116,False
Q2,Purchase Likelihood (24mo),3.2,3.167,2.8,3.109,0.2113,0.0349,False
Q7,Permit-Light Effect,4.033,4.2,3.767,5.103,0.078,0.0573,False
Q15,Value: Permit-Light,4.0,3.933,3.733,1.756,0.4155,0.0197,False
Q16,Value: Install Speed,3.567,3.633,3.433,0.844,0.6557,0.0095,False
Q17,Value: Build Quality,3.5,3.667,3.533,0.584,0.7468,0.0066,False
Q19,Sponsorship Impact,3.1,3.2,3.033,0.334,0.846,0.0038,False
Q5_cost,Cost (~$23K),3.133,2.767,2.933,0.956,0.6201,0.0107,False
Q5_hoa,HOA Restrictions,3.067,3.233,2.733,4.707,0.0951,0.0529,False
Q5_permit,Permit Uncertainty,3.067,2.667,2.667,2.714,0.2574,0.0305,False
Q5_space,Limited Space,2.567,2.7,2.4,1.656,0.437,0.0186,False
Q5_financing,Lack of Financing,2.533,2.467,2.5,0.042,0.9791,0.0005,False
Q5_quality,Build Quality Concerns,3.0,3.067,2.733,2.439,0.2954,0.0274,False
Q5_resale,Resale Value Uncertainty,2.6,3.0,2.6,3.228,0.1991,0.0363,False
Q9a,Home Office,3.2,3.2,3.233,0.137,0.9338,0.0015,False
Q9b,Home Office (Likelihood),2.867,2.8,2.567,1.498,0.4729,0.0168,False
Q10a,Guest Suite / STR,2.833,3.033,2.833,0.569,0.7525,0.0064,False
Q10b,Guest Suite (Likelihood),2.667,2.767,2.6,0.087,0.9573,0.001,False
Q11a,Wellness Studio,3.1,2.967,3.067,0.365,0.8334,0.0041,False
Q11b,Wellness (Likelihood),2.5,2.7,2.5,0.355,0.8373,0.004,False
Q12a,Adventure Basecamp,2.733,2.833,2.4,1.624,0.444,0.0182,False
Q12b,Adventure (Likelihood),2.4,2.4,2.133,1.068,0.5863,0.012,False
Q13a,Simplicity,3.7,3.8,3.433,3.326,0.1896,0.0374,False
Q13b,Simplicity (Likelihood),3.167,3.5,3.233,2.42,0.2982,0.0272,False
